name,kecamatan,code_kecamatan,code_kotakab,name_kecamatan
BAKONGAN,BAKONGAN,110101,1101,BAKONGAN
KLUETUTARA,KLUET UTARA,110102,1101,KLUETUTARA
KLUETSELATAN,KLUET SELATAN,110103,1101,KLUETSELATAN
LABUHANHAJI,LABUHAN HAJI,110104,1101,LABUHANHAJI
MEUKEK,MEUKEK,110105,1101,MEUKEK
SAMADUA,SAMADUA,110106,1101,SAMADUA
SAWANG,SAWANG,110107,1101,SAWANG
TAPAKTUAN,TAPAKTUAN,110108,1101,TAPAKTUAN
TRUMON,TRUMON,110109,1101,TRUMON
PASIRAJA,PASI RAJA,110110,1101,PASIRAJA
LABUHANHAJITIMUR,LABUHAN HAJI TIMUR,110111,1101,LABUHANHAJITIMUR
LABUHANHAJIBARAT,LABUHAN HAJI BARAT,110112,1101,LABUHANHAJIBARAT
KLUETTENGAH,KLUET TENGAH,110113,1101,KLUETTENGAH
KLUETTIMUR,KLUET TIMUR,110114,1101,KLUETTIMUR
BAKONGANTIMUR,BAKONGAN  TIMUR,110115,1101,BAKONGANTIMUR
TRUMONTIMUR,TRUMON TIMUR,110116,1101,TRUMONTIMUR
KOTABAHAGIA,KOTA BAHAGIA,110117,1101,KOTABAHAGIA
TRUMONTENGAH,TRUMON TENGAH,110118,1101,TRUMONTENGAH
LAWEALAS,LAWE ALAS,110201,1102,LAWEALAS
LAWESIGALA-GALA,LAWE SIGALA-GALA,110202,1102,LAWESIGALA-GALA
BAMBEL,BAMBEL,110203,1102,BAMBEL
BABUSSALAM,BABUSSALAM,110204,1102,BABUSSALAM
BADAR,BADAR,110205,1102,BADAR
BABULMAKMUR,BABUL MAKMUR,110206,1102,BABULMAKMUR
DARULHASANAH,DARUL HASANAH,110207,1102,DARULHASANAH
LAWEBULAN,LAWE BULAN,110208,1102,LAWEBULAN
BUKITTUSAM,BUKIT TUSAM,110209,1102,BUKITTUSAM
SEMADAM,SEMADAM,110210,1102,SEMADAM
BABULRAHMAH,BABUL RAHMAH,110211,1102,BABULRAHMAH
KETAMBE,KETAMBE,110212,1102,KETAMBE
DELENGPOKHKISEN,DELENG POKHKISEN,110213,1102,DELENGPOKHKISEN
LAWESUMUR,LAWE SUMUR,110214,1102,LAWESUMUR
TANOHALAS,TANOH ALAS,110215,1102,TANOHALAS
LEUSER,LEUSER,110216,1102,LEUSER
DARULAMAN,DARUL AMAN,110301,1103,DARULAMAN
JULOK,JULOK,110302,1103,JULOK
IDIRAYEUK,IDI RAYEUK,110303,1103,IDIRAYEUK
BIREMBAYEUN,BIREM BAYEUN,110304,1103,BIREMBAYEUN
SERBAJADI,SERBAJADI,110305,1103,SERBAJADI
NURUSSALAM,NURUSSALAM,110306,1103,NURUSSALAM
PEUREULAK,PEUREULAK,110307,1103,PEUREULAK
RANTAUSELAMAT,RANTAU SELAMAT,110308,1103,RANTAUSELAMAT
SIMPANGULIM,SIMPANG ULIM,110309,1103,SIMPANGULIM
RANTAUPEUREULAK,RANTAU PEUREULAK,110310,1103,RANTAUPEUREULAK
PANTEBIDARI,PANTE BIDARI,110311,1103,PANTEBIDARI
MADAT,MADAT,110312,1103,MADAT
INDRAMAKMU,INDRA MAKMU,110313,1103,INDRAMAKMU
IDITUNONG,IDI TUNONG,110314,1103,IDITUNONG
BANDAALAM,BANDA ALAM,110315,1103,BANDAALAM
PEUDAWA,PEUDAWA,110316,1103,PEUDAWA
PEUREULAKTIMUR,PEUREULAK  TIMUR,110317,1103,PEUREULAKTIMUR
PEUREULAKBARAT,PEUREULAK BARAT,110318,1103,PEUREULAKBARAT
SUNGAIRAYA,SUNGAI RAYA,110319,1103,SUNGAIRAYA
SIMPANGJERNIH,SIMPANG JERNIH,110320,1103,SIMPANGJERNIH
DARULIHSAN,DARUL IHSAN,110321,1103,DARULIHSAN
DARULFALAH,DARUL FALAH,110322,1103,DARULFALAH
IDITIMUR,IDI TIMUR,110323,1103,IDITIMUR
PEUNARON,PEUNARON,110324,1103,PEUNARON
LINGE,LINGE,110401,1104,LINGE
SILIHNARA,SILIH NARA,110402,1104,SILIHNARA
BEBESEN,BEBESEN,110403,1104,BEBESEN
PEGASING,PEGASING,110407,1104,PEGASING
BINTANG,BINTANG,110408,1104,BINTANG
KETOL,KETOL,110410,1104,KETOL
KEBAYAKAN,KEBAYAKAN,110411,1104,KEBAYAKAN
KUTEPANANG,KUTE PANANG,110412,1104,KUTEPANANG
CELALA,CELALA,110413,1104,CELALA
LAUTTAWAR,LAUT TAWAR,110417,1104,LAUTTAWAR
ATULINTANG,ATU LINTANG,110418,1104,ATULINTANG
JAGONGJEGET,JAGONG JEGET,110419,1104,JAGONGJEGET
BIES,BIES,110420,1104,BIES
RUSIPANTARA,RUSIP ANTARA,110421,1104,RUSIPANTARA
JOHANPAHLAWAN,JOHAN PAHLAWAN,110501,1105,JOHANPAHLAWAN
KAWAYXVI,KAWAY XVI,110502,1105,KAWAYXVI
SUNGAIMAS,SUNGAI MAS,110503,1105,SUNGAIMAS
WOYLA,WOYLA,110504,1105,WOYLA
SAMATIGA,SAMATIGA,110505,1105,SAMATIGA
BUBON,BUBON,110506,1105,BUBON
ARONGANLAMBALEK,ARONGAN LAMBALEK,110507,1105,ARONGANLAMBALEK
PANTECEUREUMEN,PANTE CEUREUMEN,110508,1105,PANTECEUREUMEN
MEUREUBO,MEUREUBO,110509,1105,MEUREUBO
WOYLABARAT,WOYLA BARAT,110510,1105,WOYLABARAT
WOYLATIMUR,WOYLA TIMUR,110511,1105,WOYLATIMUR
PANTONREU,PANTON REU,110512,1105,PANTONREU
LHOONG,LHOONG,110601,1106,LHOONG
LHOKNGA,LHOKNGA,110602,1106,LHOKNGA
INDRAPURI,INDRAPURI,110603,1106,INDRAPURI
SEULIMEUM,SEULIMEUM,110604,1106,SEULIMEUM
MONTASIK,MONTASIK,110605,1106,MONTASIK
SUKAMAKMUR,SUKAMAKMUR,110606,1106,SUKAMAKMUR
DARULIMARAH,DARUL IMARAH,110607,1106,DARULIMARAH
PEUKANBADA,PEUKAN BADA,110608,1106,PEUKANBADA
MESJIDRAYA,MESJID RAYA,110609,1106,MESJIDRAYA
INGINJAYA,INGIN JAYA,110610,1106,INGINJAYA
KUTABARO,KUTA BARO,110611,1106,KUTABARO
DARUSSALAM,DARUSSALAM,110612,1106,DARUSSALAM
PULOACEH,PULO ACEH,110613,1106,PULOACEH
LEMBAHSEULAWAH,LEMBAH SEULAWAH,110614,1106,LEMBAHSEULAWAH
KOTAJANTHO,KOTA JANTHO,110615,1106,KOTAJANTHO
KOTACOTGLIE,KOTA COT GLIE,110616,1106,KOTACOTGLIE
KUTAMALAKA,KUTA MALAKA,110617,1106,KUTAMALAKA
SIMPANGTIGA,SIMPANG TIGA,110618,1106,SIMPANGTIGA
DARULKAMAL,DARUL KAMAL,110619,1106,DARULKAMAL
BAITUSSALAM,BAITUSSALAM,110620,1106,BAITUSSALAM
KRUENGBARONAJAYA,KRUENG BARONA JAYA,110621,1106,KRUENGBARONAJAYA
LEUPUNG,LEUPUNG,110622,1106,LEUPUNG
BLANGBINTANG,BLANG BINTANG,110623,1106,BLANGBINTANG
BATEE,BATEE,110703,1107,BATEE
DELIMA,DELIMA,110704,1107,DELIMA
GEUMPANG,GEUMPANG,110705,1107,GEUMPANG
GLUMPANGTIGA,GLUMPANG  TIGA,110706,1107,GLUMPANGTIGA
INDRAJAYA,INDRA JAYA,110707,1107,INDRAJAYA
KEMBANGTANJONG,KEMBANG TANJONG,110708,1107,KEMBANGTANJONG
KOTASIGLI,KOTA SIGLI,110709,1107,KOTASIGLI
MILA,MILA,110711,1107,MILA
MUARATIGA,MUARA TIGA,110712,1107,MUARATIGA
