name,kelurahan,code_kecamatan,name_kelurahan
KEUDEBAKONGAN,KEUDE BAKONGAN,110101,KEUDEBAKONGAN
UJONGMANGKI,UJONG MANGKI,110101,UJONGMANGKI
UJONGPADANG,UJONG PADANG,110101,UJONGPADANG
GAMPONGDRIEN,GAMPONG DRIEN,110101,GAMPONGDRIEN
DARULIKHSAN,DARUL IKHSAN,110101,DARULIKHSAN
PADANGBEURAHAN,PADANG BEURAHAN,110101,PADANGBEURAHAN
GAMPONGBARO,GAMPONG BARO,110101,GAMPONGBARO
FAJARHARAPAN,FAJAR HARAPAN,110102,FAJARHARAPAN
KRUENGBATEE,KRUENG BATEE,110102,KRUENGBATEE
PASIKUALAASAHAN,PASI KUALA ASAHAN,110102,PASIKUALAASAHAN
GUNUNGPULO,GUNUNG PULO,110102,GUNUNGPULO
PULOIEI,PULO IE I,110102,PULOIEI
JAMBOMANYANG,JAMBO MANYANG,110102,JAMBOMANYANG
SIMPANGEMPAT,SIMPANG EMPAT,110102,SIMPANGEMPAT
LIMAUPURUT,LIMAU PURUT,110102,LIMAUPURUT
PULOKAMBING,PULO KAMBING,110102,PULOKAMBING
KAMPUNGPAYA,KAMPUNG PAYA,110102,KAMPUNGPAYA
KRUENGBATU,KRUENG BATU,110102,KRUENGBATU
KRUENGKLUET,KRUENG KLUET,110102,KRUENGKLUET
ALURMAS,ALUR MAS,110102,ALURMAS
KAMPUNGTINGGI,KAMPUNG TINGGI,110102,KAMPUNGTINGGI
RUAK,RUAK,110102,RUAK
SIMPANGLHEE,SIMPANG LHEE,110102,SIMPANGLHEE
SUAQGEURINGGENG,SUAQ GEURINGGENG,110102,SUAQGEURINGGENG
PASIKUALABA'U,PASI KUALA BA'U,110102,PASIKUALABA'U
KEDAIPADANG,KEDAI PADANG,110102,KEDAIPADANG
KOTAFAJAR,KOTAFAJAR,110102,KOTAFAJAR
GUNUNGPUDUNG,GUNUNG PUDUNG,110102,GUNUNGPUDUNG
SUAQBAKUNG,SUAQ BAKUNG,110103,SUAQBAKUNG
RANTAUBINUANG,RANTAU BINUANG,110103,RANTAUBINUANG
BARATDAYA,BARAT DAYA,110103,BARATDAYA
SIALANG,SIALANG,110103,SIALANG
KAPEH,KAPEH,110103,KAPEH
PULOIE,PULO IE,110103,PULOIE
KEDAIRUNDING,KEDAI RUNDING,110103,KEDAIRUNDING
KEDAIKANDANG,KEDAI KANDANG,110103,KEDAIKANDANG
GAMPONGLUAR,GAMPONG LUAR,110103,GAMPONGLUAR
