name,kotakab,code_kotakab,code_provinsi,name_kotakab
KAB.ACEHSELATAN,KAB. ACEH SELATAN,1101,11,KAB.ACEHSELATAN
KAB.ACEHTENGGARA,KAB. ACEH TENGGARA,1102,11,KAB.ACEHTENGGARA
KAB.ACEHTIMUR,KAB. ACEH TIMUR,1103,11,KAB.ACEHTIMUR
KAB.ACEHTENGAH,KAB. ACEH TENGAH,1104,11,KAB.ACEHTENGAH
KAB.ACEHBARAT,KAB. ACEH BARAT,1105,11,KAB.ACEHBARAT
KAB.ACEHBESAR,KAB. ACEH BESAR,1106,11,KAB.ACEHBESAR
KAB.PIDIE,KAB. PIDIE,1107,11,KAB.PIDIE
KAB.ACEHUTARA,KAB. ACEH UTARA,1108,11,KAB.ACEHUTARA
KAB.SIMEULUE,KAB. SIMEULUE,1109,11,KAB.SIMEULUE
KAB.ACEHSINGKIL,KAB. ACEH SINGKIL,1110,11,KAB.ACEHSINGKIL
KAB.BIREUEN,KAB. BIREUEN,1111,11,KAB.BIREUEN
KAB.ACEHBARATDAYA,KAB. ACEH BARAT DAYA,1112,11,KAB.ACEHBARATDAYA
KAB.GAYOLUES,KAB. GAYO LUES,1113,11,KAB.GAYOLUES
KAB.ACEHJAYA,KAB. ACEH JAYA,1114,11,KAB.ACEHJAYA
KAB.NAGANRAYA,KAB. NAGAN RAYA,1115,11,KAB.NAGANRAYA
KAB.ACEHTAMIANG,KAB. ACEH TAMIANG,1116,11,KAB.ACEHTAMIANG
KAB.BENERMERIAH,KAB. BENER MERIAH,1117,11,KAB.BENERMERIAH
KAB.PIDIEJAYA,KAB. PIDIE JAYA,1118,11,KAB.PIDIEJAYA
KOTABANDAACEH,KOTA BANDA ACEH,1171,11,KOTABANDAACEH
KOTASABANG,KOTA SABANG,1172,11,KOTASABANG
KOTALHOKSEUMAWE,KOTA LHOKSEUMAWE,1173,11,KOTALHOKSEUMAWE
KOTALANGSA,KOTA LANGSA,1174,11,KOTALANGSA
KOTASUBULUSSALAM,KOTA SUBULUSSALAM,1175,11,KOTASUBULUSSALAM
KAB.TAPANULITENGAH,KAB. TAPANULI TENGAH,1201,12,KAB.TAPANULITENGAH
KAB.TAPANULIUTARA,KAB. TAPANULI UTARA,1202,12,KAB.TAPANULIUTARA
KAB.TAPANULISELATAN,KAB. TAPANULI SELATAN,1203,12,KAB.TAPANULISELATAN
KAB.NIAS,KAB. NIAS,1204,12,KAB.NIAS
KAB.LANGKAT,KAB. LANGKAT,1205,12,KAB.LANGKAT
KAB.KARO,KAB. KARO,1206,12,KAB.KARO
KAB.DELISERDANG,KAB. DELI SERDANG,1207,12,KAB.DELISERDANG
KAB.SIMALUNGUN,KAB. SIMALUNGUN,1208,12,KAB.SIMALUNGUN
KAB.ASAHAN,KAB. ASAHAN,1209,12,KAB.ASAHAN
KAB.LABUHANBATU,KAB. LABUHAN BATU,1210,12,KAB.LABUHANBATU
KAB.DAIRI,KAB. DAIRI,1211,12,KAB.DAIRI
KAB.TOBASAMOSIR,KAB. TOBA SAMOSIR,1212,12,KAB.TOBASAMOSIR
KAB.MANDAILINGNATAL,KAB. MANDAILING NATAL,1213,12,KAB.MANDAILINGNATAL
KAB.NIASSELATAN,KAB. NIAS SELATAN,1214,12,KAB.NIASSELATAN
KAB.PAKPAKBHARAT,KAB. PAKPAK BHARAT,1215,12,KAB.PAKPAKBHARAT
KAB.HUMBANGHASUNDUTAN,KAB. HUMBANG HASUNDUTAN,1216,12,KAB.HUMBANGHASUNDUTAN
KAB.SAMOSIR,KAB. SAMOSIR,1217,12,KAB.SAMOSIR
KAB.SERDANGBEDAGAI,KAB. SERDANG BEDAGAI,1218,12,KAB.SERDANGBEDAGAI
KAB.BATUBARA,KAB. BATU BARA,1219,12,KAB.BATUBARA
KAB.PADANGLAWASUTARA,KAB. PADANG LAWAS UTARA,1220,12,KAB.PADANGLAWASUTARA
KAB.PADANGLAWAS,KAB. PADANG LAWAS,1221,12,KAB.PADANGLAWAS
KAB.LABUHANBATUSELATAN,KAB. LABUHAN BATU SELATAN,1222,12,KAB.LABUHANBATUSELATAN
KAB.LABUHANBATUUTARA,KAB. LABUHAN BATU UTARA,1223,12,KAB.LABUHANBATUUTARA
KAB.NIASUTARA,KAB. NIAS UTARA,1224,12,KAB.NIASUTARA
KAB.NIASBARAT,KAB. NIAS BARAT,1225,12,KAB.NIASBARAT
KOTAMEDAN,KOTA MEDAN,1271,12,KOTAMEDAN
KOTAPEMATANGSIANTAR,KOTA PEMATANG SIANTAR,1272,12,KOTAPEMATANGSIANTAR
KOTASIBOLGA,KOTA SIBOLGA,1273,12,KOTASIBOLGA
KOTATANJUNGBALAI,KOTA TANJUNG BALAI,1274,12,KOTATANJUNGBALAI
KOTABINJAI,KOTA BINJAI,1275,12,KOTABINJAI
KOTATEBINGTINGGI,KOTA TEBING TINGGI,1276,12,KOTATEBINGTINGGI
KOTAPADANGSIDEMPUAN,KOTA PADANG SIDEMPUAN,1277,12,KOTAPADANGSIDEMPUAN
KOTAGUNUNGSITOLI,KOTA GUNUNGSITOLI,1278,12,KOTAGUNUNGSITOLI
KAB.PESISIRSELATAN,KAB. PESISIR SELATAN,1301,13,KAB.PESISIRSELATAN
KAB.SOLOK,KAB. SOLOK,1302,13,KAB.SOLOK
KAB.SIJUNJUNG,KAB. SIJUNJUNG,1303,13,KAB.SIJUNJUNG
KAB.TANAHDATAR,KAB. TANAH DATAR,1304,13,KAB.TANAHDATAR
KAB.PADANGPARIAMAN,KAB. PADANG PARIAMAN,1305,13,KAB.PADANGPARIAMAN
KAB.AGAM,KAB. AGAM,1306,13,KAB.AGAM
KAB.LIMAPULUHKOTA,KAB. LIMA PULUH KOTA,1307,13,KAB.LIMAPULUHKOTA
KAB.PASAMAN,KAB. PASAMAN,1308,13,KAB.PASAMAN
KAB.KEPULAUANMENTAWAI,KAB. KEPULAUAN MENTAWAI,1309,13,KAB.KEPULAUANMENTAWAI
KAB.DHARMASRAYA,KAB. DHARMASRAYA,1310,13,KAB.DHARMASRAYA
KAB.SOLOKSELATAN,KAB. SOLOK SELATAN,1311,13,KAB.SOLOKSELATAN
KAB.PASAMANBARAT,KAB. PASAMAN BARAT,1312,13,KAB.PASAMANBARAT
KOTAPADANG,KOTA PADANG,1371,13,KOTAPADANG
KOTASOLOK,KOTA SOLOK,1372,13,KOTASOLOK
KOTASAWAHLUNTO,KOTA SAWAH LUNTO,1373,13,KOTASAWAHLUNTO
KOTAPADANGPANJANG,KOTA PADANG PANJANG,1374,13,KOTAPADANGPANJANG
KOTABUKITTINGGI,KOTA BUKITTINGGI,1375,13,KOTABUKITTINGGI
KOTAPAYAKUMBUH,KOTA PAYAKUMBUH,1376,13,KOTAPAYAKUMBUH
KOTAPARIAMAN,KOTA PARIAMAN,1377,13,KOTAPARIAMAN
KAB.KAMPAR,KAB. KAMPAR,1401,14,KAB.KAMPAR
KAB.INDRAGIRIHULU,KAB. INDRAGIRI HULU,1402,14,KAB.INDRAGIRIHULU
KAB.BENGKALIS,KAB. BENGKALIS,1403,14,KAB.BENGKALIS
KAB.INDRAGIRIHILIR,KAB. INDRAGIRI HILIR,1404,14,KAB.INDRAGIRIHILIR
KAB.PELALAWAN,KAB. PELALAWAN,1405,14,KAB.PELALAWAN
KAB.ROKANHULU,KAB. ROKAN HULU,1406,14,KAB.ROKANHULU
KAB.ROKANHILIR,KAB. ROKAN HILIR,1407,14,KAB.ROKANHILIR
KAB.SIAK,KAB. SIAK,1408,14,KAB.SIAK
KAB.KUANTANSINGINGI,KAB. KUANTAN SINGINGI,1409,14,KAB.KUANTANSINGINGI
KAB.KEPULAUANMERANTI,KAB. KEPULAUAN MERANTI,1410,14,KAB.KEPULAUANMERANTI
KOTAPEKANBARU,KOTA PEKANBARU,1471,14,KOTAPEKANBARU
KOTADUMAI,KOTA DUMAI,1472,14,KOTADUMAI
KAB.KERINCI,KAB. KERINCI,1501,15,KAB.KERINCI
KAB.MERANGIN,KAB. MERANGIN,1502,15,KAB.MERANGIN
KAB.SAROLANGUN,KAB. SAROLANGUN,1503,15,KAB.SAROLANGUN
KAB.BATANGHARI,KAB. BATANG HARI,1504,15,KAB.BATANGHARI
KAB.MUAROJAMBI,KAB. MUARO JAMBI,1505,15,KAB.MUAROJAMBI
KAB.TANJUNGJABUNGBARAT,KAB. TANJUNG JABUNG BARAT,1506,15,KAB.TANJUNGJABUNGBARAT
KAB.TANJUNGJABUNGTIMUR,KAB. TANJUNG JABUNG TIMUR,1507,15,KAB.TANJUNGJABUNGTIMUR
KAB.BUNGO,KAB. BUNGO,1508,15,KAB.BUNGO
KAB.TEBO,KAB. TEBO,1509,15,KAB.TEBO
KOTAJAMBI,KOTA JAMBI,1571,15,KOTAJAMBI
KOTASUNGAIPENUH,KOTA SUNGAI PENUH,1572,15,KOTASUNGAIPENUH
KAB.OGANKOMERINGULU,KAB. OGAN KOMERING ULU,1601,16,KAB.OGANKOMERINGULU
KAB.OGANKOMERINGILIR,KAB. OGAN KOMERING ILIR,1602,16,KAB.OGANKOMERINGILIR
KAB.MUARAENIM,KAB. MUARA ENIM,1603,16,KAB.MUARAENIM
KAB.LAHAT,KAB. LAHAT,1604,16,KAB.LAHAT
KAB.MUSIRAWAS,KAB. MUSI RAWAS,1605,16,KAB.MUSIRAWAS
KAB.MUSIBANYUASIN,KAB. MUSI BANYUASIN,1606,16,KAB.MUSIBANYUASIN
KAB.BANYUASIN,KAB. BANYUASIN,1607,16,KAB.BANYUASIN
