name,code_provinsi,provinsi,name_provinsi
ACEH,11,ACEH,ACEH
SUMATERAUTARA,12,SUMATERA UTARA,SUMATERAUTARA
SUMATERABARAT,13,SUMATERA BARAT,SUMATERABARAT
RIAU,14,RIAU,RIAU
JAMBI,15,JAMBI,JAMBI
SUMATERASELATAN,16,SUMATERA SELATAN,SUMATERASELATAN
BENGKULU,17,BENGKULU,BENGKULU
LAMPUNG,18,LAMPUNG,LAMPUNG
KEPULAUANBANGKABELITUNG,19,KEPULAUAN BANGKA BELITUNG,KEPULAUANBANGKABELITUNG
KEPULAUANRIAU,21,KEPULAUAN RIAU,KEPULAUANRIAU
DKIJAKARTA,31,DKI JAKARTA,DKIJAKARTA
JAWABARAT,32,JAWA BARAT,JAWABARAT
JAWATENGAH,33,JAWA TENGAH,JAWATENGAH
DIYOGYAKARTA,34,DI YOGYAKARTA,DIYOGYAKARTA
JAWATIMUR,35,JAWA TIMUR,JAWATIMUR
BANTEN,36,BANTEN,BANTEN
BALI,51,BALI,BALI
NUSATENGGARABARAT,52,NUSA TENGGARA BARAT,NUSATENGGARABARAT
NUSATENGGARATIMUR,53,NUSA TENGGARA TIMUR,NUSATENGGARATIMUR
KALIMANTANBARAT,61,KALIMANTAN BARAT,KALIMANTANBARAT
PAPUABARAT,92,PAPUA BARAT,PAPUABARAT
KALIMANTANTENGAH,62,KALIMANTAN TENGAH,KALIMANTANTENGAH
KALIMANTANSELATAN,63,KALIMANTAN SELATAN,KALIMANTANSELATAN
KALIMANTANTIMUR,64,KALIMANTAN TIMUR,KALIMANTANTIMUR
KALIMANTANUTARA,65,KALIMANTAN UTARA,KALIMANTANUTARA
SULAWESIUTARA,71,SULAWESI UTARA,SULAWESIUTARA
SULAWESITENGAH,72,SULAWESI TENGAH,SULAWESITENGAH
SULAWESISELATAN,73,SULAWESI SELATAN,SULAWESISELATAN
SULAWESITENGGARA,74,SULAWESI TENGGARA,SULAWESITENGGARA
GORONTALO,75,GORONTALO,GORONTALO
SULAWESIBARAT,76,SULAWESI BARAT,SULAWESIBARAT
MALUKU,81,MALUKU,MALUKU
MALUKUUTARA,82,MALUKU UTARA,MALUKUUTARA
PAPUA,91,PAPUA,PAPUA
