kota,provinsi,types,kota english,singkatan_provinsi
Aceh Barat,Aceh,Kabupaten,West Aceh,Aceh
Aceh Barat Daya,Aceh,Kabupaten,Southwest Aceh,Aceh
Aceh Besar,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Aceh Jaya,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Aceh Selatan,Aceh,Kabupaten,South Aceh,Aceh
Aceh Singkil,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Aceh Tamiang,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Aceh Tengah,Aceh,Kabupaten,Central Aceh,Aceh
Aceh Tenggara,Aceh,Kabupaten,Southeast Aceh,Aceh
Aceh Timur,Aceh,Kabupaten,East Aceh,Aceh
Aceh Utara,Aceh,Kabupaten,North Aceh,Aceh
Banda Aceh,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Bener Meriah,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Bireuen,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Gayo Lues,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Langsa,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Lhokseumawe,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Nagan Raya,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Pidie,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Pidie Jaya,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Sabang,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Simeulue,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Subulussalam,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Badung,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Bangli,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Buleleng,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Denpasar,Bali,Kota,kotatidakbisadigantibahasa,Bali
Gianyar,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Jembrana,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Karangasem,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Klungkung,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Tabanan,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Cilegon,Banten,Kota,kotatidakbisadigantibahasa,Banten
Kota Serang,Banten,Kota,City of Serang,Banten
Kota Tangerang,Banten,Kota,Tangerang City,Banten
Lebak,Banten,Kabupaten,kotatidakbisadigantibahasa,Banten
Pandeglang,Banten,Kabupaten,kotatidakbisadigantibahasa,Banten
Serang,Banten,Kabupaten,kotatidakbisadigantibahasa,Banten
Tangerang,Banten,Kabupaten,kotatidakbisadigantibahasa,Banten
Tangerang Selatan,Banten,Kota,South Tangerang,Banten
Bengkulu,Bengkulu,Kota,kotatidakbisadigantibahasa,Bengkulu
Bengkulu Selatan,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Bengkulu Tengah,Bengkulu,Kabupaten,Central Bengkulu,Bengkulu
Bengkulu Utara,Bengkulu,Kabupaten,North Bengkulu,Bengkulu
Kaur,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Kepahiang,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Lebong,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Mukomuko,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Rejang Lebong,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Seluma,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Bantul,DI Yogyakarta,Kabupaten,kotatidakbisadigantibahasa,Yogyakarta
Gunung Kidul,DI Yogyakarta,Kabupaten,South Mountain,Yogyakarta
Kota Yogyakarta,DI Yogyakarta,Kota,Yogyakarta City,Yogyakarta
Kulon Progo,DI Yogyakarta,Kabupaten,West of Progo,Yogyakarta
Sleman,DI Yogyakarta,Kabupaten,kotatidakbisadigantibahasa,Yogyakarta
Jakarta Barat,DKI Jakarta,Kota,west Jakarta,Jakarta
Jakarta Pusat,DKI Jakarta,Kota,Central Jakarta,Jakarta
Jakarta Selatan,DKI Jakarta,Kota,South Jakarta,Jakarta
Jakarta Timur,DKI Jakarta,Kota,East Jakarta,Jakarta
Jakarta Utara,DKI Jakarta,Kota,North Jakarta,Jakarta
Kepulauan Seribu,DKI Jakarta,Kabupaten,Thousand Islands,Jakarta
Boalemo,Gorontalo,Kabupaten,kotatidakbisadigantibahasa,Gorontalo
Bone Bolango,Gorontalo,Kabupaten,kotatidakbisadigantibahasa,Gorontalo
Danau Limboto,Gorontalo,Kabupaten,Lake Limboto,Gorontalo
Gorontalo,Gorontalo,Kabupaten,kotatidakbisadigantibahasa,Gorontalo
Gorontalo Utara,Gorontalo,Kabupaten,North Gorontalo,Gorontalo
Kota Gorontalo,Gorontalo,Kota,Gorontalo City,Gorontalo
Pohuwato,Gorontalo,Kabupaten,kotatidakbisadigantibahasa,Gorontalo
Batang Hari,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
